"Name","Number","Version","Owner","Function","Sub-function","Functional organization","Infineon location","Container","Release date","Follow-up date","Document Type","Domain","Reviewed by","Approved by","Language","Legacy document number"
"OJTI for Line Maintenance on KLR Machine. (Skill Level 4)(TWI)","Z8F46859929","E.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2023-02-22T11:00:00+05:30","2027-02-22T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00002374"
"OJTI on Line Maintenance for McDry Cabinet (Skill Level 4)(TWI)","Z8F46859981","C.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2022-12-07T11:00:00+05:30","2026-12-07T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003248"
"OJTI for Operating Procedure for Peel Strength Analyzer at MSP. (Skill Level 2)(TWI)","Z8F46860561","N.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2026-03-16T01:41:47+05:30","2028-03-16T01:41:47+05:30","Production: Procedure","Production Document","Too Jeremy (BE QM MP SIN QE), Mohd Tahar Yusof (BE SIN OP P BI), Myint Tun Linn (BE SIN OP APE UP)","Myint Tun Linn (BE SIN OP APE UP)","English","A5D00006866"
"OJTI On Preventive Maintenance For KLA-T640/T680/T790 Machine. (Skill Level 5)","Z8F46860021","P.8","guochang","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2026-05-05T06:56:08+05:30","2028-05-05T06:56:08+05:30","Production: Procedure","Production Document","Too Jeremy (BE QM MP SIN QE), Huang Niam Cheong (BE SIN FM ESH)","Mohammad Pervez So Mohommad Haron (BE SIN TE BM)","English","A5D00003575"
"OJTI on Process Specification, Control System & Alarm Handling for MSP Process. (Skill Level 3)(TWI)","Z8F46861709","BH.9","Inactive user: tanli","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2026-05-11T09:23:22+05:30","2028-05-11T09:23:22+05:30","Production: Procedure","Production Document","Too Jeremy (BE QM MP SIN QE)","Myint Tun Linn (BE SIN TE UP)","English","A5D00050861"
"OJTI on PM Procedures for Strapping Machine. (Skill Level 5)","Z8F46861688","L.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2026-07-03T00:29:28+05:30","2028-07-03T00:29:28+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE SIN FM ESH)","Mohammad Pervez So Mohommad Haron (BE SIN TE BM)","English","A5D00050735"
"OJTI on Line Maintenance for Autonomous Mobile Robot (AMR) with Fixed Rack and Towing Mechanism. (Skill Level 4)(TWI)","Z8F46861533","A.5","behw","Production","Packing,Burn-In","BE","Singapore, Kallang Way","cDtC_BE","2025-06-11T10:00:00+05:30","2027-10-11T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009709"
"OJTI on Operating Instruction for Opcenter Job Module. (Skill Level 2)(TWI)","Z8F46860045","E.5","seekuoki","Production","Packing,Intelligent Burn In System (IBIS),Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-30T10:00:00+05:30","2027-11-02T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003852"
"OJTI for Good Manufacturing Practices in Shopfloor. (Skill Level 1)","Z8F46861637","M.8","yaul","Production","Packing,Intelligent Burn In System (IBIS),Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-02-20T11:00:00+05:30","2027-10-30T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050509"
"OJTI on Opcenter Tool Reservation Transaction. (Skill Level 2)(TWI)","Z8F46860046","D.5","seekuoki","Production","Packing,Intelligent Burn In System (IBIS),Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-03T10:00:00+05:30","2027-12-11T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003853"
"OJTI Green Line (Man) Certification for Production Operators and Technicians. (Skill Level 4)","Z8F46860115","E.6","chanhant","Production","Packing,Intelligent Burn In System (IBIS),Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-02-07T11:00:00+05:30","2028-05-25T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00004259"
"OJTI on Escalation Procedure for SIN Operation (Skill Level 1)","Z8F46861161","A.6","yaul","Production","Packing,Intelligent Burn In System (IBIS),Testing,Burn-In","BE","Singapore, Kallang Way","cDtC_BE","2024-01-15T11:00:00+05:30","2028-01-15T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009182"
"OJTI on Operating Procedure for Strapping Machine. (Skill Level 2) (TWI)","Z8F46861665","G.8","behw","Production","Packing,Storing","BE","Singapore, Kallang Way","cDtC_BE","2024-07-15T10:00:00+05:30","2028-07-15T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050640"
"OJTI for Tote Box Handling Procedure. (Skill Level 2)(TWI)","Z8F46859994","E.5","seekuoki","Production","Packing,Storing,Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-03T10:00:00+05:30","2028-04-10T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003347"
"BE OJTI Template- Step-by- Step Usage Guideline","Z8F80932570","A.3","akgupol","Quality Management","QM System","BE QM","Cegled, Wuxi, Tijuana, Bangkok, Melaka, Singapore, Kallang Way, Batam, Indonesia, Warstein, Max-Planck","cDtC_BE","2026-05-08T03:01:46+05:30","","Production: Information","Production Document","Auto-Reviewed","Auto-Approved","English",""
"OJTI on Defect Catalogue for Mechanical Rejects of BGA Packages.(Skill level 3)","Z8F46861705","E.2","hewpowte","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-25T10:00:00+05:30","2028-07-07T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050840"
"OJTI for Incoming Inspection of Packing Materials. (Skill Level 3)(TWI)","Z8F46861708","N.3","warouw","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2023-10-13T10:00:00+05:30","2027-10-13T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050855"
"OJTI to Perform MSA Studies at Packing Material Incoming Inspection (Skill Level 5)","Z8F46861223","A.3","warouw","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2024-05-29T10:00:00+05:30","2028-05-29T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009356"
"OJTI for Visual Inspection Step. (Skill Level 2)(TWI)","Z8F46860164","C.4","hewpowte","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2024-01-12T11:00:00+05:30","2028-01-12T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00004647"
"OJTI for FAR return unit reconditioning steps (Skill Level 3)(TWI)","Z8F46861109","A.3","brajendran","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2023-08-08T10:00:00+05:30","2027-08-08T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009015"
"OJTI to Perform Stability Test at IQC. (Skill Level 3)","Z8F46860646","D.2","warouw","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2024-12-06T11:00:00+05:30","2028-07-26T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007223"
"OJTI for Defect Catalogue on Mechanical Reject of Leaded and Leadless Packages. (Skill Level 3)","Z8F46861706","F.3","seekuoki","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-08T10:00:00+05:30","2027-11-03T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050841"
"OJTI for Final Outgoing Inspection & QA Final Clearance. (Skill Level 3)(TWI)","Z8F46861710","W.3","hewpowte","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2025-10-10T05:55:24+05:30","2027-10-10T05:55:27+05:30","Production: Procedure","Production Document","Goh Teing Tieng (BE QM MP SIN QE)","Wong Fook San (BE QM MP SIN QE)","English","A5D00050862"
"OJTI for OGP ZIP Advance SmartScope Measurement. (Skill Level 3)(TWI)","Z8F46860328","C.4","warouw","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2024-06-25T10:00:00+05:30","2028-06-25T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00005946"
"OJTI for Conduct of Offline Defect Sensitivity Assessment(DSA). (Skill Level 3)","Z8F46861707","E.2","gohteing","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2024-11-07T11:00:00+05:30","2027-11-26T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050842"
"OJTI to Operate SCC for SPC monitoring (Skill Level 3)","Z8F46860647","B.4","warouw","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2023-08-15T10:00:00+05:30","2027-08-15T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007224"
"OJTI for Handling Rework IC (RWIC) Lots (Skill Level 3)(TWI)","Z8F46861173","A.5","arandiamarkd","Production","Quality Management (QMT)","BE","Singapore, Kallang Way","cDtC_BE","2024-04-05T10:00:00+05:30","2028-04-05T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009256"
"OJTI for Issuance of Shipment Request Form.(Skill Level 2)(TWI)","Z8F46861670","E.6","leetecks","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2023-03-06T11:00:00+05:30","2027-03-06T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050660"
"OJTI for Spare Parts Cycle Count Procedure. (Skill Level 2)","Z8F46861666","F.7","soony","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2024-05-07T10:00:00+05:30","2028-05-07T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050642"
"OJTI for Issuing of Spare Parts. (Skill Level 2)","Z8F46861667","F.4","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2023-10-16T10:00:00+05:30","2027-10-16T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050643"
"OJTI for Material Control Form Preparation Procedure","Z8F46861668","E.4","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-12T10:00:00+05:30","2027-08-21T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050650"
"OJTI for Opcenter Transactions at Subcon Operation. (Skill Level 2)","Z8F46859877","K.4","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2025-06-19T10:00:00+05:30","2028-05-13T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001679"
"OJTI on Operating Procedures for Digital Packing Line Palletization (DPLP) Smart Stocker (Skill Level 4)(TWI)","Z8F80918379","A.4","behw","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2026-04-06T04:27:46+05:30","2028-04-06T04:27:46+05:30","Production: Procedure","Production Document","Sainey B Zamri (BE OPC PDT SIN LOG OPS), Huang Niam Cheong (BE FM SIN ESH), Hew Pow Teck (BE QM MP SIN QE QT)","Foo Say Wee (BE SIN OP APE AE)","English",""
"OJTI for Receiving of Subcon Assembled Lot Procedure. (Skill Level 2)(TWI)","Z8F46861669","R.3","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2026-06-08T00:16:30+05:30","2028-06-08T00:16:30+05:30","Production: Procedure","Production Document","Yap Janice (BE QM MP SIN QMS)","Soon Jessica (BE OPC PDT SIN LOG SPF)","English","A5D00050651"
"OJTI for RMA Sorting Procedure. (Skill Level 2)(TWI)","Z8F46859925","E.4","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-12T10:00:00+05:30","2028-03-01T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00002278"
"OJTI for Issuing of Material. (Skill Level 1)","Z8F46861638","H.6","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2023-10-13T10:00:00+05:30","2027-10-13T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050511"
"OJTI for Materials and Spare Parts Receiving Procedure. (Skill Level 2)","Z8F46861639","F.4","soony","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2024-05-17T10:00:00+05:30","2028-05-17T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050512"
"OJTI for Good Manufacturing Practice in Shipping and Store. (Skill Level 1)","Z8F46861640","G.4","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2025-03-17T11:00:00+05:30","2028-06-20T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050513"
"OJTI for Material Cycle Count Procedure. (Skill Level 2)","Z8F46861662","H.7","soony","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2024-05-07T10:00:00+05:30","2028-05-07T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050637"
"OJTI for Scrap Crushing Procedure. (Skill Level 2)","Z8F46861659","G.8","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2025-10-21T06:12:47+05:30","2027-10-21T06:12:47+05:30","Production: Procedure","Production Document","Ker Derick (BE SIN OP P FT T),Soon Jessica (BE OPC PDT SIN LOG),Tan Chai (BE FM SIN SEC)","Tee Leong How (BE OPC PDT SIN LOG)","English","A5D00050612"
"OJTI for Handling of Emergency Shipment Documentation. (Skill Level 2)(TWI)","Z8F46861671","F.5","leetecks","Logistics,Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2025-11-06T05:21:18+05:30","2027-11-06T05:21:19+05:30","Production: Procedure","Production Document","Cai Xiaohua (BE OPC PDT SIN DRM)","Tee Leong How (BE OPC PDT SIN LOG)","English","A5D00050661"
"OJTI for Finished Goods Shipping and Packing to DCs. (Skill Level 2)(TWI)","Z8F46861672","M.5","zamri","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-12T10:00:00+05:30","2028-01-24T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050662"
"OJTI on Operating Procedures for Digital Packing Line Palletization (DPLP) Smart Stocker (Skill Level 2)(TWI)","Z8F80916535","A.4","behw","Production","Storing","BE","Singapore, Kallang Way","cDtC_BE","2026-03-27T06:23:01+05:30","2028-03-27T06:23:01+05:30","Production: Procedure","Production Document","Ng Yu Ning Eileen (BE QM MP SIN QMS), Hew Pow Teck (BE QM MP SIN QE QT)","Foo Say Wee (BE SIN OP APE AE)","English",""
"OJTI for Basic Operations of J750 Testers. (Skill Level 2)(TWI)","Z8F46861680","K.6","tanwingh","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-14T10:00:00+05:30","2028-06-02T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050692"
"OJTI for Major Maintenance of Flex Tester. (Skill Level 6)","Z8F46861654","E.3","balanquitall","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-09-24T09:27:24+05:30","2027-09-24T09:27:25+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE FM SIN ESH)","Ngu Linus (BE SIN OP E T),Sim Lee Wee (BE SIN OP P)","English","A5D00050598"
"OJTI for Preventive Maintenance of V93K EXAScale Tester. (Skill Level 5)(TWI)","Z8F46861433","A.5","hortizue","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-03-24T11:00:00+05:30","2028-01-01T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009598"
"OJTI for Final Test Tube Devices on Complete Test Lot Reject Handling Procedure. (Skill Level 2)(TWI)","Z8F46859971","D.5","yinjianq","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-25T10:00:00+05:30","2028-02-02T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003104"
"OJTI on Final Test Tube/Tray Device Handling During Technical Intervention. (Skill Level 3) (TWI)","Z8F46860019","G.5","yinjianq","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-11-13T11:00:00+05:30","2027-11-03T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003548"
"OJTI for Final Test Tray Device on Partial Test Lot Reject Handling Procedure. (Skill Level 2)(TWI)","Z8F46859996","D.6","yinjianq","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-26T10:00:00+05:30","2028-03-03T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003395"
"OJTI for Basic Operations of Flex Testers. (Skill Level 2)(TWI)","Z8F46861681","H.7","hortizue","Product Engineering,Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-05T10:00:00+05:30","2027-09-17T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050698"
"OJTI for Partial Test Tube Lot Segregation Procedure. (Skill Level 2)(TWI)","Z8F46860085","D.7","seekuoki","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-04T10:00:00+05:30","2028-07-14T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00004103"
"OJTI for Basic Operation on Multitest MT9928 Test Handler. (Skill Level 2)(TWI)","Z8F46859907","F.4","linyuefe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2023-05-23T10:00:00+05:30","2027-05-23T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001966"
"OJTI for Optical Scope Inspection of BGA Packages. (Skill Level 2) (TWI)","Z8F46859912","F.15","seekuoki","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-07-09T10:00:00+05:30","2028-02-07T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001995"
"OJTI for Setup of MMCi Tester. (Skill Level 4)(TWI)","Z8F46861718","G.6","hortizue","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-19T10:00:00+05:30","2028-06-05T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050932"
"OJTI for Final Test Line Scheduler LOH Disposition Handling with DP+ Operation. (Skill Level 2)(TWI)","Z8F46860543","F.5","yinjianq","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-04-30T10:00:00+05:30","2027-08-12T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006816"
"OJTI for Final Test Tray Device on Complete Test Lot Reject Handling Procedure. (Skill Level 2)(TWI)","Z8F46859964","H.5","yinjianq","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-25T10:00:00+05:30","2027-08-12T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003010"
"OJTI AM for V93K (CTH) Power Tester. (Skill Level 4)(TWI)","Z8F46860548","B.4","qiangd","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2023-10-10T10:00:00+05:30","2027-10-10T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006839"
"OJTI for Basic Operations of V93K (CTH) Power Tester. (Skill Level 2)(TWI)","Z8F46860546","C.4","qiangd","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-06-25T10:00:00+05:30","2028-06-25T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006837"
"OJTI for Setup of LTX Fusion CX Tester.(Skill Level 4)(TWI)","Z8F46861717","J.7","hortizue","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-23T10:00:00+05:30","2028-01-21T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050928"
"OJTI for Setup of J750. (Skill Level 4)(TWI)","Z8F46861715","U.5","hortizue","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-06-24T10:00:00+05:30","2028-03-30T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050923"
"OJTI Preventive Maintenance for LTX Fusion CX Tester.(Skill Level 5)(TWI)","Z8F46861697","G.5","hortizue","Product Engineering,Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2022-08-05T10:00:00+05:30","2026-08-05T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050798"
"OJTI on Operating Procedures for Delta Matrix Pick and Place Test Handler. (Skill Level 2)(TWI)","Z8F46861674","J.8","ernie","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-04-17T10:00:00+05:30","2028-04-25T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050667"
"OJTI for Flex Tester Line Maintenance. (Skill Level 4)(TWI)","Z8F46861648","E.4","braza","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2022-09-14T10:00:00+05:30","2026-09-14T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050562"
"OJTI for Setup for V93K (CTH) Power Tester. (Skill Level 4)(TWI)","Z8F46860547","E.5","lawm","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-07-11T10:00:00+05:30","2028-06-03T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006838"
"OJTI for Basic Operations of V93K Testers. (Skill Level 2)(TWI)","Z8F46860054","F.8","zawthuhe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-23T10:00:00+05:30","2027-12-23T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003893"
"OJTI for Life-Span Count for Tool. (Skill Level 2)(TWI)","Z8F46860050","D.4","zawthuhe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-20T10:00:00+05:30","2027-12-08T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003869"
"OJTI for Delta Castle Handler Partial Test Lot Removal Devices Procedure. (Skill Level 2)(TWI)","Z8F46859956","E.9","yinjianq","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-11-07T05:55:13+05:30","2027-11-07T05:55:14+05:30","Production: Procedure","Production Document","Sim Lee Wee (BE SIN OP P),Yau Liv (BE SIN OP P FT O),Huang Niam Cheong (BE FM SIN ESH),Leow Siok Hua (BE QM MP SIN QE)","Wong Chee Peng (BE SIN OP APE)","English","A5D00002875"
"OJTI for Preventive Maintenance for NS-8040 Handler.(Skill Level 5)","Z8F46861694","J.8","linyuefe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2023-04-28T10:00:00+05:30","2027-04-28T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050780"
"OJTI for Final Test WIP Transportation with Cargo Lift. (Skill Level 2)(TWI)","Z8F46860337","C.4","seekuoki","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-12-01T02:25:29+05:30","2027-12-01T02:25:30+05:30","Production: Procedure","Production Document","Yau Liv (BE SIN OP P FT O), Huang Niam Cheong (BE FM SIN ESH), Myint Tun Linn (BE SIN OP APE UP), Leow Siok Hua (BE QM MP SIN QE)","Wong Chee Peng (BE SIN OP APE)","English","A5D00005990"
"OJTI for Flush Out IC Procedure on DC Handler Machine. (Skill Level 4) (TWI)","Z8F46859955","D.4","yinjianq","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-07-16T10:00:00+05:30","2027-10-18T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00002872"
"OJTI for Line Maintenance Procedure for Delta Castle Handler. (Skill Level 4)(TWI)","Z8F46861642","G.6","ernie","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-01-08T11:00:00+05:30","2027-08-21T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050537"
"OJTI for Preventive Maintenance Procedure for Multitest MT9928XM. (Skill Level 5)","Z8F46859973","M.4","linyuefe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2023-03-01T11:00:00+05:30","2027-03-01T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003108"
"OJTI on Operating Procedures for Seiko Epson North Star 8040 Pick & Place Test Handler. (Skill Level 2)(TWI)","Z8F46860584","C.4","linyuefe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-11-27T05:31:56+05:30","2027-11-27T05:31:57+05:30","Production: Procedure","Production Document","Ker Derick (BE SIN OP P FT T), Leow Siok Hua (BE QM MP SIN QE), Huang Niam Cheong (BE FM SIN ESH)","Xie Bo (BE SIN OP E TH)","English","A5D00006943"
"OJTI for Preventive Maintenance of V93K (STH) Digital Tester. (Skill Level 5)(TWI)","Z8F46860068","E.6","zawthuhe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2022-09-07T10:00:00+05:30","2026-09-07T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003970"
"OJTI for Line Maintenance of V93K EXAScale Tester. (Skill Level 4)(TWI)","Z8F46861431","A.7","hortizue","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-02-25T11:00:00+05:30","2028-07-24T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009596"
"OJTI for Line Maintenance for Multitest MT9928XM Test Handler. (Skill Level 4)(TWI)","Z8F46859900","G.6","linyuefe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-01-02T11:00:00+05:30","2028-05-02T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001922"
"OJTI for Line Maintenance of V93K (STH) Digital Tester. (Skill Level 4)(TWI)","Z8F46860059","C.4","zawthuhe","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2023-03-27T10:00:00+05:30","2027-03-27T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003927"
"OJTI for Preventive Maintenance Procedure for Delta Castle Handler. (Skill Level 5)","Z8F46861692","L.4","ernie","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2023-09-25T10:00:00+05:30","2027-09-25T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050770"
"OJTI for Basic Operation of V93K EXAScale Tester. (Skill Level 2)(TWI)","Z8F46861442","A.9","hortizue","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-03-03T11:00:00+05:30","2027-09-17T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009607"
"OJTI for Preventive Maintenance on OSAI NeoHandler304 Test Handler. (Skill Level 5)","Z8F46860564","B.4","ernie","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2025-07-10T10:00:00+05:30","2028-06-21T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006885"
"OJTI AM for LTX Fusion CX Test Cell.(Skill Level 4)(TWI)","Z8F46861636","F.5","hortizue","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2026-01-27T23:38:41+05:30","2028-01-27T23:38:41+05:30","Production: Procedure","Production Document","Leow Siok Hua (BE QM MP SIN QE), Huang Niam Cheong (BE FM SIN ESH), Ker Derick (BE SIN OP P FT T)","Ngu Linus (BE SIN OP E T)","English","A5D00050496"
"OJTI for Major Maintenance for LTX Fusion CX Tester. (Skill Level 6)","Z8F46861653","E.6","hortizue","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2026-03-04T07:43:57+05:30","2028-03-04T07:43:57+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE FM SIN ESH), Ker Derick (BE SIN OP P FT T), Leow Siok Hua (BE QM MP SIN QE)","Ngu Linus (BE SIN OP E T)","English","A5D00050596"
"OJTI for Final Test Tray Device Handling Procedure on Normal Test. (Skill Level 2)(TWI)","Z8F46859963","U.5","yinjianq","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2026-03-02T08:42:25+05:30","2028-03-02T08:42:25+05:30","Production: Procedure","Production Document","Myint Tun Linn (BE SIN OP APE UP)","Yau Liv (BE SIN OP P FT O), Myint Tun Linn (BE SIN OP APE UP)","English","A5D00003009"
"OJTI on Line Maintenance for JHT 9832 PRO Handler. (Skill Level 4)(TWI)","Z8F80922829","A.7","visvanag","Production","Testing","BE","Singapore, Kallang Way","cDtC_BE","2026-04-23T07:51:53+05:30","2028-04-23T07:51:53+05:30","Production: Procedure","Production Document","Ker Derick (BE SIN OP P FT T), Leow Siok Hua (BE QM MP SIN QE), Huang Niam Cheong (BE SIN FM ESH)","Xie Bo (BE SIN OP E TH)","English",""
